{re = 8.28421307, im = 0}
{re = -0.344707042, im = 0.129658252}
{re = -0.354898781, im = 0.760652661}
{re = -0.344834656, im = -0.154285967}
{re = -0.421247721, im = -2.06580138}
{re = -0.344461799, im = 0.0572431087}
{re = -0.345487237, im = -0.244303197}
{re = -0.348587275, im = 0.480062515}
{re = -0.384488672, im = 1.48887861}
{re = -0.344516069, im = -0.0790897608}
{re = -0.349862784, im = -0.548400104}
{re = -0.345233351, im = 0.213884652}
{re = -0.837006927, im = -5.35376835}
{re = -0.344411939, im = 0.0231430531}
{re = -0.346026778, im = -0.299059898}
{re = -0.347195029, im = 0.392125636}
{re = -0.35307762, im = -0.691362977}
{re = -0.344925433, im = 0.169713289}
{re = -0.363173395, im = 1.01758075}
{re = -0.344644159, im = -0.115438044}
{re = -0.473125935, im = 2.68163323}
{re = -0.34443897, im = -0.0443601608}
{re = -0.347990066, im = -0.444470376}
{re = -0.345666677, im = 0.263853282}
{re = -0.373680353, im = -1.27162349}
{re = -0.344557881, im = 0.092487216}
{re = -0.350855798, im = 0.596237898}
{re = -0.345105559, im = -0.196744174}
{re = 17.0048561, im = 81.1227417}
{re = -1.67868137, im = 3.30298996}
{re = -4.12460899, im = -1.16896343}
{re = 2.48732185, im = 2.16400051}
{re = -3.45986056, im = -4.03190041}
{re = 0.764960051, im = 3.42737961}
{re = 2.93705916, im = 1.03758502}
{re = -3.61553359, im = 1.53584194}
{re = -3.93538618, im = -6.48946857}
{re = -0.440119743, im = 3.58132267}
{re = -4.07126045, im = 0.235031843}
{re = 2.84267831, im = 1.41619563}
{re = 3.30787134, im = 2.17793274}
{re = -2.78540754, im = 2.5977478}
{re = -3.8428731, im = -2.57291174}
{re = 1.77993882, im = 2.90813112}
{re = -7.07690001, im = -10.810112}
{re = -1.06569338, im = 3.49750757}
{re = -4.14665174, im = -0.462112904}
{re = 2.7077117, im = 1.77270555}
{re = -3.6373601, im = -3.27758884}
{re = 1.30483615, im = 3.20636463}
{re = 3.00574636, im = 1.24550366}
{re = -3.24254274, im = 2.10485148}
{re = 4.57101774, im = 5.78660774}
{re = -2.25838232, im = 3.00071216}
{re = -4.01657724, im = -1.87384033}
{re = 2.17703414, im = 2.55249119}
{re = -3.4362793, im = -4.96354008}
{re = 0.176946402, im = 3.55591965}
{re = 2.90769577, im = 1.14505458}
{re = -3.89383507, im = 0.906790018}
{re = -17.5657272, im = -20.0088654}
{re = -1.37507629, im = 3.41400528}
{re = -4.14727306, im = -0.815182209}
{re = 2.60868073, im = 1.96657324}
{re = -3.53964949, im = -3.64358211}
{re = 1.04202306, im = 3.32758355}
{re = 2.95890713, im = 1.08689475}
{re = -3.44031143, im = 1.82890058}
{re = -3.57360268, im = -5.59896851}
{re = -0.129213929, im = 3.58200479}
{re = -3.99535298, im = 0.57515043}
{re = 2.88237119, im = 1.26599669}
{re = 3.71596742, im = 3.32481337}
{re = -2.52961516, im = 2.8112216}
{re = -3.93622065, im = -2.22387743}
{re = 1.98890638, im = 2.73606634}
{re = 6.39269304, im = 13.6374474}
{re = -1.97394514, im = 3.16496992}
{re = -4.0803175, im = -1.52213287}
{re = 2.34337044, im = 2.36062002}
{re = -3.41575575, im = -4.46111584}
{re = 0.475823998, im = 3.5039854}
{re = 2.92354107, im = 1.06405687}
{re = -3.76701546, im = 1.22775412}
{re = -4.79150677, im = -7.925982}
{re = -0.753161669, im = 3.553267}
{re = -4.12156773, im = -0.111409068}
{re = 2.78522325, im = 1.5873493}
{re = 3.105299, im = 1.57145417}
{re = -3.02368021, im = 2.36173964}
{re = -3.74120998, im = -2.92288995}
{re = 1.55140495, im = 3.06576848}
{re = -68.4346848, im = -39.9914131}
{re = -1.52776337, im = 3.36190796}
{re = -4.13875961, im = -0.992072105}
{re = 2.5508194, im = 2.06512737}
{re = -3.49658179, im = -3.83401442}
{re = 0.905138731, im = 3.3802762}
{re = 2.94607878, im = 1.05105293}
{re = -3.53081751, im = 1.6843797}
{re = -3.71568847, im = -6.00034857}
{re = -0.284235239, im = 3.58505201}
{re = -4.03651476, im = 0.406014264}
{re = 2.86456156, im = 1.33800316}
{re = 3.47615385, im = 2.65612984}
{re = -2.65957499, im = 2.70739555}
{re = -3.89090919, im = -2.39843225}
{re = 1.88695431, im = 2.82372618}
{re = -5.62828779, im = -9.07222176}
{re = -0.909657955, im = 3.52885723}
{re = -4.13722277, im = -0.286350131}
{re = 2.74908113, im = 1.67862809}
{re = -3.68909883, im = -3.09932232}
{re = 1.43026781, im = 3.13834763}
{re = 3.04652905, im = 1.38236511}
{re = -3.13564563, im = 2.23579264}
{re = 5.3315773, im = 8.32793522}
{re = -2.11766768, im = 3.08606434}
{re = -4.05071592, im = -1.69820142}
{re = 2.26297331, im = 2.45737767}
{re = -3.41544533, im = -4.70033121}
{re = 0.327456117, im = 3.53311777}
{re = 2.91641808, im = 1.09876597}
{re = -3.83355379, im = 1.06874502}
{re = 8.80797482, im = 46.1788864}
{re = -1.82751393, im = 3.23731422}
{re = -4.10504436, im = -1.34569013}
{re = 2.41816783, im = 2.26266718}
{re = -3.43188953, im = -4.23980284}
{re = 0.621760368, im = 3.46867752}
{re = 2.93002939, im = 1.04287767}
{re = -3.6943059, im = 1.38354397}
{re = -4.27130604, im = -7.10793638}
{re = -0.596540213, im = 3.57074404}
{re = -4.09959745, im = 0.0624712706}
{re = 2.81633234, im = 1.49960315}
{re = 3.18909836, im = 1.82873166}
{re = -2.90685844, im = 2.48246145}
{re = -3.79273844, im = -2.7475996}
{re = 1.66802633, im = 2.98892307}
{re = -9.95277596, im = -13.7774734}
{re = -1.22094584, im = 3.45921326}
{re = -4.1499548, im = -0.638460875}
{re = 2.66094851, im = 1.86889863}
{re = -3.58710337, im = -3.4586122}
{re = 1.17534029, im = 3.2695291}
{re = 2.97781897, im = 1.14970326}
{re = -3.34415674, im = 1.96913815}
{re = 4.06206512, im = 4.29444456}
{re = -2.39579201, im = 2.90904808}
{re = -3.97827148, im = -2.04904914}
{re = 2.08564091, im = 2.64552426}
{re = -3.48554945, im = -5.25913143}
{re = 0.0246225595, im = 3.57225823}
{re = 2.89656639, im = 1.20126915}
{re = -3.94778252, im = 0.74216795}
{re = 260.6297, im = 396.195679}
{re = -0.675186157, im = 2.3143158}
{re = -2.18327332, im = -1.17436981}
{re = 2.43190002, im = 0.169395447}
{re = -0.076231122, im = -2.72064281}
{re = 1.34226048, im = 2.00199962}
{re = 1.42388904, im = -2.2132895}
